"Edit","Editar"
"Save in address book","Guardar en la libreta de direcciones"
"You can create an account after checkout.","Podés crear una cuenta después de finalizar la compra."
"You already have an account with us. Sign in or continue as guest.","Ya tenés una cuenta con nosotros. Ingresá o continuá como invitado."
"Forgot Your Password?","Olvidaste tu contraseña?"
"Email Address","Dirección de email"
"Enter coupon code here","Ingresar código de cupón aquí"
"Apply","Aplicar"
"Cancel","Cancelar"
"Apply Discount","Aplicar"
"* Required Fields","* Campos requeridos"
"Shipping Methods","Métodos de envío"
"Remove","Eliminar"
"My billing and shipping address are the same","Mis domicilios de envío y facturación son los mismos"
"Cancel","Cancelar"
"Update","Actualizar"
"Date to delivery:","Fecha de entrega:"
"Time to delivery:","Hora de entrega:"
"Choose...","Seleccionar..."
"Add a gift message to my order","Agregar un mensaje personal a mi pedido"
"To:","Para:"
"From:","De:"
"Message:","Mensaje:"
"Gift wrap","Envoltorio de regalo"
"Payment","Pago"
"Order Review","Revisión de pedido"
"Product","Producto"
"Qty","Cant"
"Subtotal","Subtotal"
"Continue to PayPal","Contunuar en PayPal"
"Place Order","Ubicar pedido"
"Please wait, processing your order...","Por favor espere, procesando su pedido..."
"Leave your comment","Deje su comentario"
"Sign Up for Our Newsletter","Registrate en nuestro boletín"
"Forgot your password?","Olvidaste tu contraseña?"
"Please enter your email below and we will send you a new password.","Por favor ingresá tu email y te enviaremos tu nueva contraseña."
"We have already sent a new password to your email address.","Ya te hemos enviado una nueva contraseña a tu dirección de email."
"Email address","Dirección de email"
"Return to login","Volver al ingreso"
"Login","Ingreso"
"Create a new account","Crear una nueva cuenta"
"Please enter the following information to create a new account.","Por favr ingresá la siguiente información para crear una nueva cuenta."
"Create a new account","Crear una nueva cuenta"
"First Name","Nombre"
"Last Name","Apellido"
"Password Strength","Fortaleza de la contraseña"
"No Password","Sin contraseña"
"Password","Contraseña"
"Confirm Password","Confirmar contraseña"
"Register","Registrar"
"Phone Number","Número de teléfono"
"Street Address","Domicilio"
"Country","País"
"City","Ciudad"
"Zip/Postal Code","Código postal"
"State/Province","Provincia"
"Company","Compañia"
"Step 1: Install GeoIP Library",Paso 1: Instalar la librería GeoIP"
"Please log in to your SSH. Use cd command to your Magento root folder. After that, enter the command:","Por favor ingresá en tu SSH. Usá en comando cd hasta la carpeta raíz de magento. después de eso, ingresá el comando:"
"If your Magento need the authentication, please log in to your Magento connect and go to ","Si tu magento necesita la autenticación, por favor ingresá en tu Magento connect y dirigite a "
"After that, please generate the public key and the private key. Finally, copy them and fill them to Magento authentication.","Luego, por favor generá la clave pública y la clave privada. Finalmente, copialas y llenalas en la autenticación de Magento."
"Step 2: Download GeoIP Data file","Step 2: Descargar el archivo de datos de GeoIP"
"After extracting the file, you will receive GeoLite2-City.mmdb file.","Desoués de extraer el archivo, obtendrás el archivo GeoLite2-City.mmdb."
"Then please log in to your FTP and upload this file to ","Luego ingresá en tu FTP y subí este archivo a "
"this guide","esta guia"
"Your Geo Ip is not installed! If you want to use Geo IP feature, please follow","Tu Geo Ip no está instalado! Si querés usar la característica Geo IP feature, porfavor seguí"
"this link.","este link."
"Configure positions of fields in Billing and Shipping Address section. You can display fields into 2 columns (eg: First name + Last name) or 1 full column (eg: Address + Null)","Configurar las posiciones de los campos en la sección de direcciones de envío y facturación. Podés mostrar campos en 2 columnas (ej: Nombre + Apellido) o una columna completa (ej: Domicilio + Null)"
"Field name already exists!","El campo nombre ya existe!"
"Security access code (Buildings/gated communities)","Código de seguridad de acceso (Edificios/Barrios cerrados)"
