"Conditions Combination","Combinacion de condiciones"
"Product Attribute","Atributo de producto"
SKU,SKU
"Please choose a condition to add.","Por favor seleccione una condición a agregar."
"Add to Cart","Comprar"
"In stock","En stock"
"Out of stock","Sin stock"
"Add to Wish List","Agregar a lista de deseos"
"Add to Compare","Agregar para comparar"
"Catalog Products List","Lista de produstos del catálogo"
"List of Products","Lista de productos"
Title,Título
"Display Page Control","Mostrar control de página"
"Number of Products per Page","Número de productos por página"
"Number of Products to Display","Número de productos a mostrar"
Template,Plantilla
"Products Grid Template","Plantilla de grilla de Productos"
"Cache Lifetime (Seconds)","Tiempo de vida del Caché (Segundos)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 por defecto, si no está seteado. Para refrescar instantáneammente, limpiar el caché Blocks HTML Output."
Conditions,Condiciones
