"Save Review","Guardar reseña"
"New Review","Nueva reseña"
"Review Details","Revisar detalles"
Product,Producto
"Product Rating","Puntuación de Producto"
Status,Estado
Visibility,Visibilidad
Nickname,Nombre
"Summary of Review","Resumen de la reseña"
Review,Reseña
Previous,Anterior
"Save and Previous","Guardar y volver a la anterior"
"Save and Next","Guardar y pasar a la siguiente"
Next,Siguiente
"Delete Review","Eliminar reseña"
"Are you sure you want to do this?","Está seguro que desea hacer esto?"
"Edit Review '%1'","Editar Reseña '%1'"
"<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>","<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>"
Administrator,Administrador
Guest,Invitado
Author,Autor
"Summary Rating","Resumen de puntuación"
"Detailed Rating","Puntuación detallada"
ID,ID
Created,Creada
Title,Título
Type,Tipo
SKU,SKU
Action,Acción
Edit,Editar
Delete,Eliminar
"Are you sure?","Está seguro?"
"Update Status","Actualizar estado"
Customer,Cliente
"Pending Reviews of Customer `%1`","Reseñas pendientes del Cliente `%1`"
"Pending Reviews","Reseñas pendientes"
"All Reviews of Customer `%1`","Todas las reseñas del Cliente `%1`"
"All Reviews of Product `%1`","Todas las reseñas del Producto `%1`"
"All Reviews","Todas las reseñas"
Name,Nombre
"Product Store Name","Nombre de la tienda del Producto"
Price,Precio
Quantity,Cantidad
Websites,Sitios web
"Manage Ratings","Manage Ratings"
"Add New Rating","Add New Rating"
"Save Rating","Save Rating"
"Delete Rating","Delete Rating"
"Edit Rating #%1","Edit Rating #%1"
"New Rating","New Rating"
"Rating Title","Rating Title"
"Default Value","Default Value"
"Rating Visibility","Rating Visibility"
"Is Active","Is Active"
"Sort Order","Sort Order"
"Rating Information","Rating Information"
"Product Reviews","Product Reviews"
"Pending product review(s)","Pending product review(s)"
"Product: <a href=""%1"" target=""_blank"">%2</a> <br/>","Product: <a href=""%1"" target=""_blank"">%2</a> <br/>"
"Summary of review: %1 <br/>","Summary of review: %1 <br/>"
"Review: %1 <br/>","Review: %1 <br/>"
"Store: %1 <br/>","Store: %1 <br/>"
"Click <a href=""%1"">here</a> to see the review.","Click <a href=""%1"">here</a> to see the review."
"Product: ""%1"" reviewed by: %2","Product: ""%1"" reviewed by: %2"
"Pending Reviews RSS","Pending Reviews RSS"
"Reviews %1","Reviews %1"
Reviews,Reseñas
"The review has been deleted.","The review has been deleted."
"Something went wrong  deleting this review.","Something went wrong  deleting this review."
"Customer Reviews","Customer Reviews"
"Edit Review","Edit Review"
"We can't retrieve the product ID.","We can't retrieve the product ID."
"Please select review(s).","Please select review(s)."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Something went wrong while deleting these records.","Something went wrong while deleting these records."
"A total of %1 record(s) have been updated.","A total of %1 record(s) have been updated."
"Something went wrong while updating these review(s).","Something went wrong while updating these review(s)."
"You saved the review.","You saved the review."
"Something went wrong while saving this review.","Something went wrong while saving this review."
"The review was removed by another user or does not exist.","The review was removed by another user or does not exist."
"You deleted the rating.","You deleted the rating."
Ratings,Ratings
"You saved the rating.","You saved the rating."
"My Product Reviews","Mis reseñas"
"Cannot initialize product","Cannot initialize product"
"You submitted your review for moderation.","You submitted your review for moderation."
"We can't post your review right now.","We can't post your review right now."
"Storage key was not set","Storage key was not set"
Approved,Approved
Pending,Pending
"Not Approved","Not Approved"
"Please enter a review summary.","Please enter a review summary."
"Please enter a nickname.","Please enter a nickname."
"Please enter a review.","Please enter a review."
"Rating isn't Available","Rating isn't Available"
"Please specify a rating title for a store, or we'll just use the default value.","Please specify a rating title for a store, or we'll just use the default value."
"Assigned Options","Assigned Options"
"Option Title:","Option Title:"
"Product Name","Nombre de Porducto"
Rating,Puntuación
Actions,Acciones
"See Details","Ver detalles"
"You have submitted no reviews.","No ha enviado reseñas."
Back,Atrás
"My Recent Reviews","Mis reseñas recientes"
"View All","Ver todo"
"Average Customer Rating:","Puntuación promedio de cliente:"
"Your Review","Su reseña"
"Submitted on %1","Enviado el %1"
"Back to My Reviews","Volver a mis reseñas"
"Ratings Review Summary","Resumen de revisión de calificaciones"
"Be the first to review this product","Sea el primero en opinar"
"Write Your Own Review","Escriba su opinión"
"* Required Fields","* Campos requeridos"
"You're reviewing:","Está opinando sobre:"
"Your Rating","Su puntuacion"
"%1 %2","%1 %2"
Summary,Resumen
"Submit Review","Enviar Reseña"
"Only registered users can write reviews. Please <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Sólo los usuarios registrados pueden escribir reseñas. Por favor <a href=""%1"">Ingrese</a> o <a href=""%2"">cree una cuenta</a>"
"Add Your Review","Agregar una reseña"
"%1 Review(s)","%1 Reseña(s)"
"Review by","Reseña por"
"Posted on","Publicada el"
"Back to Main Product Info","Volver a información del producto"
"Average Customer Rating","Puntuación promedio de cliente"
"Product Rating:","Puntuación del producto:"
"Product Review (submitted on %1):","Reseña del producto (enviada el %1):"
"Back to Product Reviews","Volver a reseñas de Producto"
"By Customers","Por Clientes"
"By Products","Por Productos"
"Allow Guests to Write Reviews","Permitir a los visitantes escribir reseñas"
Active,Activo
Inactive,Inactivo
"Please select one of each of the ratings above.","Seleccione una de las reseñas anteriores."
