"- Choose a SMTP Provider -","- Seleccione un Proveedor de SMTP -"
"Gmail, GSuite","Gmail, GSuite"
Mailgun,Mailgun
Mandrill,Mandrill
Sendinblue,Sendinblue
Sendgrid,Sendgrid
"Elastic Email","Elastic Email"
SparkPost,SparkPost
Mailjet,Mailjet
Postmark,Postmark
"AOL Mail","AOL Mail"
Comcast,Comcast
GMX,GMX
Hotmail,Hotmail
Mail.com,Mail.com
"O2 Mail","O2 Mail"
Office365,Office365
Orange,Orange
Outlook,Outlook
"Yahoo Mail","Yahoo Mail"
"Yahoo Mail Plus","Yahoo Mail Plus"
"Yahoo AU/NZ","Yahoo AU/NZ"
AT&T,AT&T
"NTL @ntlworld.com","NTL @ntlworld.com"
"BT Connect","BT Connect"
"Zoho Mail","Zoho Mail"
Verizon,Verizon
"BT Openworld","BT Openworld"
"O2 Online Deutschland","O2 Online Deutschland"
Back,Atrás
Success,Operación exitosa
"Something went wrong.","Algo anduvo mal."
"TEST EMAIL from Custom SMTP","TEST EMAIL from Custom SMTP"
"Sent successfully! Please check your email box.","Enviado satisfactoriamente! Por favor chequee su bandeja de entrada."
"Test Error","Error en la Prueba"
"Emails Log","Registro de Emails"
Mageplaza,Mageplaza
Smtp,Smtp
Email,Email
PLAIN,PLAIN
Login,Login
CRAM-MD5,CRAM-MD5
None,Ninguno
SSL,SSL
TLS,TLS
Error,Error
View,Ver
"Mageplaza Smtp","Mageplaza Smtp"
SMTP,SMTP
"General Configuration","Configuración General"
"Enable Mageplaza SMTP","Habilitar Mageplaza SMTP"
"SMTP Configuration Options","Opciones de Configuración SMTP"
"SMTP Provider","Proveedor SMTP"
"Select a Pre-defined SMTP Server, then click Load Settings.","Seleccione un Servidor SMTP Predefinido, luego haga click en Cargar Configuración."
"Load Settings","Cargar Configuración"
Host,Host
"Support Host name and ID Address","Nombre de Host e ID de dirección del Soporte"
Port,Puerto
"Default ports: 25, 465, or 587. Port 465 (SSL required), Port 587 (TLS required)","Puertos por Defecto: 25, 465, or 587. Puerto 465 (SSL requerido), Puerto 587 (TLS requerido)"
Authentication,Authenticación
Username,Nombre de Usuario
Password,Contraseña
Protocol,Protocolo
"We recommend use security connections: SSL or TLS. Secure Socket Layer (SSL), Transport Layer Security (TLS) protocols.","Le recomendamos utilizar conexiones seguras: SSL o TLS. Secure Socket Layer (SSL), Transport Layer Security (TLS) protocols."
"Return-Path Email","Correo Electrónico de Retorno"
"Leave empty to ignore it.","Dejar vacío o ignorarlo."
"Send Test Email","Enviar Email de Prueba"
"Send From","Enviar Desde"
"Send To","Enviar a"
Developer,Desarrollador
"Log Emails","Registrar Emails"
"It will log all sent emails, you can preview it and schedule clean up.","Se registrarán todos los Emails enviados, Puede previsualizarlos y programar su limpieza."
"Clean Email Log Every","Limpiar registro de Emails Cada"
"Day(s). If empty or zero, the Email log will not be cleaned.","Día(s). Si está vacío o es cero, el registro de Emails no será limpiado."
"Developer Mode","Modo Desarrollador"
"If Enable, Magento will not delivery any email to receiver. This is useful for developers.","Si está habilitado, Magento no entregará ningún Email al receptor. Esto es útil para los desarrolladores."
Clear,Limpiar
ID,ID
Subject,Asunto
Status,Estado
"Created At","Creado el"
