"Add New Email","Agregar nuevo email"
"Save Email Report","Guardar reporte de Email"
"Send now","Enviar ahora"
"Save","Guardar"
"Save & Close","Guardar y Cerrar"
"Reports","Reportes"
"General Information","Información General"
"Title","Título"
"Status","Estado"
"Enabled","Habilitado"
"Disabled","Deshabilitado"
"Subject","Asunto"
"Recipient","Recipiente"
"Separate e-mails by commas","Separar e-mails por comas"
"Schedule","Agendar"
"Email Report Information","Información de Reporte de Email"
"Content","Contenido"
"ID","ID"
"Action","Acción"
"Email Notifications","Notificaciones por email"
"The email report has been deleted.","El reporte de email ha sido eliminado."
"This email report no longer exists.","Este reporte de email ya no existe."
"This email no longer exists.","Este email ya no existe."
"Edit Email ""%1""","Editar Email ""%1"""
"New Email Report","Nuevo reporte de Email"
"You saved the email report.","Ha guardado el reporte de Email."
"Email was sent.","El Email ha sido enviado."
"All Store Views","Todas las vistas de tienda"
"Undefined column ""%1""","Columna no definida ""%1"""
"Field %1 not exists in table %2","El campo %1 no existe en la tabla %2"
"Table '%1' is not defined.","La tabla '%1' no está definida."
"Malformed column name '%1'.","Nombre de columna mal formado '%1'."
"Report %1 is not defined.","El reporte %1 no está definido."
"records found","registros encontrados"
"selected","seleccionado"
"per page","por página"
"Previous page","Página anterior"
"of %1","de %1"
"Next page","Página siguiente"
"Show Report For:","Mostrar reporte para:"
"All Websites","Todos los sitios web"
"Blocks","Bloques"
"Block","Bloque"
"Time Range","Rango de tiempo"
"Rows Limit","Límite de filas"
"Add Block","Agregar Block"
"Delete","Eliminar"
"We couldn't find any records.","No pudimos encontrar ningún registro."
"CSV","CSV"
